Location,Date,Value
Canada,05/04/2025,198.560412959832
Canada,05/05/2025,205.964563969571
Canada,05/06/2025,213.408924301096
Canada,05/07/2025,213.512129150073
Canada,05/08/2025,209.11198999444
Canada,05/09/2025,203.534635868253
Canada,05/10/2025,203.037699499115
"Saskatchewan, Canada",05/04/2025,135.281101746221
"Saskatchewan, Canada",05/05/2025,143.582404001028
"Saskatchewan, Canada",05/06/2025,149.620930857803
"Saskatchewan, Canada",05/07/2025,151.503768768807
"Saskatchewan, Canada",05/08/2025,145.091800465897
"Saskatchewan, Canada",05/09/2025,150.343959200884
"Saskatchewan, Canada",05/10/2025,153.078416951055
"Estevan, SK+",05/04/2025,102.157907903336
"Estevan, SK+",05/05/2025,107.128700925861
"Estevan, SK+",05/06/2025,112.236435738048
"Estevan, SK+",05/07/2025,111.702355484966
"Estevan, SK+",05/08/2025,108.636862651199
"Estevan, SK+",05/09/2025,103.974684350791
"Estevan, SK+",05/10/2025,103.21974669599
"Moose Jaw, SK+",05/04/2025,144.284014158482
"Moose Jaw, SK+",05/05/2025,134.547228736662
"Moose Jaw, SK+",05/06/2025,140.508870497912
"Moose Jaw, SK+",05/07/2025,145.524274577998
"Moose Jaw, SK+",05/08/2025,147.109918866618
"Moose Jaw, SK+",05/09/2025,161.748705259016
"Moose Jaw, SK+",05/10/2025,174.827512385166
"Prince Albert, SK+",05/04/2025,157.876452874685
"Prince Albert, SK+",05/05/2025,168.370735207758
"Prince Albert, SK+",05/06/2025,163.426734880052
"Prince Albert, SK+",05/07/2025,162.698417892375
"Prince Albert, SK+",05/08/2025,164.663207432534
"Prince Albert, SK+",05/09/2025,177.366537408547
"Prince Albert, SK+",05/10/2025,178.026572414409
"Regina, SK+",05/04/2025,122.879617263231
"Regina, SK+",05/05/2025,136.04046343786
"Regina, SK+",05/06/2025,149.3662523329
"Regina, SK+",05/07/2025,146.023385673338
"Regina, SK+",05/08/2025,137.910809337481
"Regina, SK+",05/09/2025,139.175484104241
"Regina, SK+",05/10/2025,142.410206881213
"Saskatoon, SK+",05/04/2025,145.12057199631
"Saskatoon, SK+",05/05/2025,156.427789413698
"Saskatoon, SK+",05/06/2025,162.599779979368
"Saskatoon, SK+",05/07/2025,169.272402814683
"Saskatoon, SK+",05/08/2025,156.669597943812
"Saskatoon, SK+",05/09/2025,159.281795847983
"Saskatoon, SK+",05/10/2025,161.25804613281
"Swift Current, SK+",05/04/2025,114.664887417231
"Swift Current, SK+",05/05/2025,117.810354100301
"Swift Current, SK+",05/06/2025,117.668973401164
"Swift Current, SK+",05/07/2025,119.451487747783
"Swift Current, SK+",05/08/2025,116.03851869592
"Swift Current, SK+",05/09/2025,122.650246899655
"Swift Current, SK+",05/10/2025,128.540601904113
"Yorkton, SK+",05/04/2025,127.659440443205
"Yorkton, SK+",05/05/2025,134.961673693016
"Yorkton, SK+",05/06/2025,142.551913766502
"Yorkton, SK+",05/07/2025,143.155797109545
"Yorkton, SK+",05/08/2025,138.31977566174
"Yorkton, SK+",05/09/2025,135.694134882191
"Yorkton, SK+",05/10/2025,142.937244562022
